Row Number,Date,County,Total Cases by Date of Specimen Collection,Deaths by Date of Death
164,11/11/2021,Guilford ,88,1
165,11/10/2021,Guilford ,83,2
166,11/9/2021,Guilford ,118,1
167,11/8/2021,Guilford ,99,2
168,11/7/2021,Guilford ,51,1
169,11/6/2021,Guilford ,53,1
170,11/5/2021,Guilford ,70,2
171,11/4/2021,Guilford ,90,3
172,11/3/2021,Guilford ,77,1
173,11/2/2021,Guilford ,108,1
174,11/1/2021,Guilford ,123,2
175,10/31/2021,Guilford ,35,0
176,10/30/2021,Guilford ,49,1
177,10/29/2021,Guilford ,71,2
178,10/28/2021,Guilford ,93,3
179,10/27/2021,Guilford ,81,6
180,10/26/2021,Guilford ,102,4
